index,name,airmass,jd,mag04,mag05,mag06,mag07,mag08,mag09,mag10,mag11,mag12,mag13,mag14,mag15,magerr04,magerr05,magerr06,magerr07,magerr08,magerr09,magerr10,magerr11,magerr12,magerr13,magerr14,magerr15
58,J030413.868+060844.162,1.920000,58427.192639,-11.0908,-11.4332,-11.6501,-11.8101,-11.9179,-11.9978,-12.0484,-12.0836,-12.1046,-12.1190,-12.1271,-12.1321,0.0092,0.0082,0.0079,0.0079,0.0080,0.0083,0.0087,0.0091,0.0097,0.0103,0.0109,0.0116
147,J030414.944+055253.452,1.920000,58427.192639,-8.7583,-9.0836,-9.3127,-9.4690,-9.5884,-9.6552,-9.6975,-9.7430,-9.7919,-9.8153,-9.8223,-9.8418,0.0686,0.0630,0.0615,0.0615,0.0633,0.0664,0.0712,0.0746,0.0781,0.0825,0.0884,0.0929
167,J030415.117+055054.122,1.920000,58427.192639,-9.4205,-9.6830,-9.8441,-9.9472,-10.0328,-10.0868,-10.1273,-10.1588,-10.1728,-10.1818,-10.1753,-10.1644,0.0379,0.0357,0.0358,0.0367,0.0378,0.0395,0.0416,0.0436,0.0464,0.0491,0.0528,0.0564
57,J030415.551+060939.420,1.920000,58427.192639,-7.5177,-7.8620,-7.7948,-7.5941,-7.0403,-3.0642,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,0.2110,0.1923,0.2444,0.3435,0.6519,28.5546,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000
84,J030416.798+055725.425,1.920000,58427.192639,-9.6151,-9.9327,-10.1638,-10.3217,-10.4553,-10.5520,-10.6357,-10.6859,-10.7118,-10.7254,-10.7353,-10.7630,0.0320,0.0294,0.0285,0.0285,0.0288,0.0295,0.0303,0.0317,0.0337,0.0360,0.0384,0.0400
52,J030423.685+061147.805,1.920000,58427.192639,-13.2619,-13.5996,-13.8331,-13.9927,-14.1033,-14.1797,-14.2324,-14.2710,-14.2973,-14.3159,-14.3295,-14.3393,0.0021,0.0018,0.0017,0.0016,0.0016,0.0015,0.0016,0.0016,0.0016,0.0017,0.0018,0.0018
74,J030424.360+055632.058,1.920000,58427.192639,-7.8367,-8.0653,-8.2691,-8.2474,-7.9668,-7.3155,-3.1269,99.0000,99.0000,99.0000,99.0000,99.0000,0.1584,0.1596,0.1592,0.1885,0.2786,0.5699,29.9454,99.0000,99.0000,99.0000,99.0000,99.0000
39,J030426.643+061014.953,1.920000,58427.192639,-7.9882,-8.2493,-8.4424,-8.5631,-8.5872,-8.4206,-8.2011,-8.0523,-7.7374,-5.9269,99.0000,99.0000,0.1373,0.1351,0.1354,0.1413,0.1575,0.2064,0.2801,0.3535,0.5146,2.9533,99.0000,99.0000
103,J030429.091+055353.217,1.920000,58427.192639,-9.2991,-9.6346,-9.8589,-10.0136,-10.1172,-10.1988,-10.2742,-10.3300,-10.3458,-10.3492,-10.3511,-10.3722,0.0421,0.0386,0.0374,0.0377,0.0390,0.0406,0.0420,0.0438,0.0471,0.0507,0.0545,0.0572
25,J030429.483+060725.475,1.920000,58427.192639,-8.8159,-9.1478,-9.3456,-9.4540,-9.5350,-9.5525,-9.5585,-9.5661,-9.5744,-9.6005,-9.6107,-9.6265,0.0652,0.0597,0.0596,0.0626,0.0663,0.0732,0.0807,0.0881,0.0953,0.1007,0.1073,0.1132
